"icontitle","description"
"安全步行空间","修路修了多年，车多人多自行车乱，希望尽快改善"
"自定义","安全做得好做得好，非常好"
"安全步行空间","这里每天上学送孩子的车辆堵满整个胡同，孩子在车流中穿行非常不安全，而且送孩子的车辆也经常寸步难行。建议上学期间设为禁行路段"
"自定义","学校开门在支路或者街坊路上，上下学期间禁行⛔️，外围安排疏导，照机场航站楼前管理"
"占道停车","滴滴摆渡车在高架桥斜坡上占自行车道，自行车在夹缝中穿行非常危险。还有私家车黑车也停在坡道上等活。"
"自定义","志成小学东南有个公交车站，占据大量人行道，孩子们只能下来走自行车道，人车混行有安全隐患。"
"安全步行空间","路很窄，汽车和行人混行，无论对驾驶者和上学的学生都不安全！"
"自定义","上下学时段（7:00-8:00；16:00-17:00）禁止机动车通行"
"过街设施","上学、放学的时间段，学生和过往机动车辆交织严重，存在安全隐患！"
"占道停车","小黄车占道，侵害行人路权！"
"安全步行空间","道路两边全部停满了车辆，路面行驶空间狭窄，堵车指数极高"
"安全步行空间","希望改善增设或改善安全步行空间"
"照明与监控","有小学但是照明很差，冬天会不安全"
"过街设施","东西南北人群汇聚，早晚高峰人流大，路况差，看病，上学的人群在十字路口拥挤不堪，加上公交，旅行车，过马路的行人尤其是老年人，快递车横穿即使有维持秩序的交通协管，有时候也无济于事，希望建过街天桥，行车，行人分开，各行其道，缓解目前路况。"
"照明与监控","路灯不足，改善照明很重要"
"自定义","清华应在距离地铁站最近的地方增设出入口，方便广大师生公交出行"
"自定义","北医附小门口，接送孩子的入口通道狭窄，还有通道两侧的小区机动车出入口两面夹击，每天都非常拥挤危险"
"过街设施","总是绿灯在斑马线前等很久！🤷🏻‍♂️🤷🏻‍♂️"
"占道停车","太多非法定车，影响这里居民的日常生活。"
"照明与监控","夜晚比较黑 照明设施不太好，监控也不多。"
"自定义","这里有太多的非法停车，影响日常生活"
"占道停车","😄😄😄非法停车比较严重 影响日常生活"
"安全步行空间","路口狭窄，路况复杂，没有人行道。"
"过街设施","极其不合理的红绿灯🚥，每次过街都无限等待，好不容易等到绿灯，还有左转右转各种转的车辆横冲直撞往脸上开！🤕🤕😤😤强烈建议优化信号灯，过街过增加车让人标识！"
"安全步行空间","路太窄了，路灯不够亮"
"过街设施","信号灯坏了很久，无人维修，旁边就是儿研所，每天早上大量的家长小孩和老人在附近活动，非常大的安全隐患"
"照明与监控","这条路晚上路灯比较少，冬天上下学时天还不太亮，容易出危险。此外人行道被树坑电线杆占据，有的地方只够一个人走，希望能拓宽一点。"
"自定义","好多机动车占用自行车道行驶，挤占自行车空间。"
"占道停车","有一些大车在路边停着，挤占行人空间"
"占道停车","很多大车在路边停靠，影响骑自行车"
"安全步行空间","早上自行车电动车汽车行人乱成一锅粥"
"安全步行空间","杂草丛生，阻碍人行便道"
"占道停车","汽车4s店占道经营，违法在人行道停车，对着主干路路口的人行横道斑马线开设出车口，无视行人安全进出车。"
"自定义","现在路边占路施工🚧 ，建议在施工标牌上标明施工内容和施工期限，让居民心中有数"
"自定义","自行车道中间不平，自行车只能靠最外侧或者最里侧骑行，不安全"
"自定义","房子转角挡住了视线，看不到对面的来车情况，建议安装镜子"
"占道停车","下午3点多家长接孩子放学，直接停在主路上，严重堵塞交通，旁边国风美唐小区的车无法正常通行开进小区"
"安全步行空间","法华寺路由东向西到北外附小段突然变窄，空间逼仄，车辆双向行驶，上下学时段混乱不堪，孩子安全无保障，学校、家长均感苦不堪言。"
"安全步行空间","学校门口，人车混行危险"
"占道停车","西里一区6号楼西侧的底商，从11单元底下的顺丰快递到14单元的诺洁超市，整个这段路，一到晚上，便道让商户占满，卖电动车的、房屋中介里门外烧烤、顺丰快递车装货卸货，行人只得走马路上去，很不安全。"
"占道停车","东新开胡同路口北口，临街道路西侧的人行便道上，便道边上砌有1米多高的矮墙，上面种上了灌木，无人修整，植物的枝桠长的都伸向墙外，造成便道不能行走，只能走到马路上。希望有人管理修葺一下。"
"过街设施","建议架设一座步行桥，现在只有车行桥，不是步行尺度的，过河特别绕。"
"安全步行空间","好好好得很呐就是今生今世"
"过街设施","山老胡同唯一的一个公厕 旁边的一堵墙是紫龙宾馆后门的一间房的墙 这个距离也就是五十六十公分 稍微胖一点的或者有残疾车根本进不去 再去别的胡同的公厕又稍远一点 国家不是解决老百姓的实际困难吗 可以来人实地调查 能尽快解决 "
"自定义","国英园小区 绿化除草完 还剩余大量垃圾未清理，有较多家具废弃物没人处理 小区脏乱差"
"自定义","路边停车过多，中街基本被机动车挤占，人车混行严重，行人行走舒适度较差"
"安全步行空间","不明白为什么要先上两级台阶再下到一个坑里坐地铁，为了防洪吗？"
"安全步行空间","经常路过的时候看到拥堵
"
"照明与监控","这个横穿三环路的地下通道，很方便，每天很多人通过。但是环境超差，路面不平，缺少照明，很容易发生危险！依托临河的优势，如果善加设计，会是很好的公共空间！"
"过街设施","还是山老胡同问题 现在正在装修街道 如不尽快装修好了再放马后炮……"
"过街设施","红绿灯闯行，横冲直撞"
"过街设施","这里还需要一个红绿灯"
"自定义","苏州街地铁A口早餐车，超范围经营，卫生不达标，请有关部门调查"
"过街设施","湖光中街2号院门口是两个小区的主要出入口。行人特别多，以前路上的人行横道已经基本磨没了，给12345打过电话，基本无效，期待重新施划上，否则特别不安全，周边500米之内有三所小学，危险隐含很高。望可以尽早解决。"
"自定义","增加绿化，西晒严重，路边停车挤占自行车道，危险"
"安全步行空间","小区里私装地锁严重。无人管理。影响安排，也影响停车。"
"占道停车","巴沟地铁站附近占道停车现象比较严重"
"安全步行空间","33333333333333"
"过街设施","照片是在汪魏新巷南口和魏家胡同交接处图片是对着魏家西口照的这段路和汪魏新巷距离差不多可路面局部太黑我家42号原来没换路灯时挺亮的监控录像也很清楚可现在换了路灯这段视线不好监控也不是很清楚10月2号发生了持刀伤人监控拍到凶手但不是很清晰从这个路口望汪魏新巷灯火通明望魏家东也是很亮唯有这段赶快解决问题"
"过街设施","这是汪魏新巷 站在汪魏新巷和魏家胡同交接口拍的往魏家西方向就很黑 刚发生持刀伤人事件 因路段太暗监控录像看的不是很清楚 希望尽快解决"
"过街设施","这是站在汪魏新巷和魏家胡同交接口拍的 这是魏家东方向 新换的路灯间隔很短 所以街道很亮可往西口路灯间隔很长所以昏暗因只能发一张照片所以发了三次建议希望能重视尤其是给犯罪行为提供条件刚发生持刀伤人事件换路灯不就是给百姓提供方便为百姓服务吗现在可是给我们添堵了希望赶紧解决"
"照明与监控","四根柏胡同6号门前安装了一个育德社区用公益金支持的太阳能路灯，结果旁边7号院的居民说，晚上太亮！影响她们家楼上的鸽子睡觉！不让9号院的邻居安装，后来还是拆了，让街巷长带回了社区。"
"占道停车","四根柏胡同2号门前用废旧自行车占车位现象严重！周边居民意见很大！希望盛世威扬物业发挥作用！"
"安全步行空间","路况太乱了，路边乱八七糟"
"过街设施","路太宽过马路不方便了"
"占道停车","路边乱停现象严重！！"
"照明与监控","晚上很黑！！！！！！"
"自定义","停车不方便！！！！！"
"车辆超速","容易造成超速驾驶！！"
"占道停车","路边停车很多！！！！"
"自定义","黄鹅路车站不好找！！"
"自定义","车站没雨棚！！！！！"
"安全步行空间","一侧几乎没有人行道！！"
"自定义","真的有用吗？麻烦了，真的这边公交太少了，每次上班都需要走那么长的路才可以坐到543，快冬天了，真的很冷，麻烦看到的，可以再多增加几条公交线路吗，真的很不方便，谢谢"
"过街设施","百货商场出口占路，停车乱"
"占道停车","北向南辅路非机动车道长期被机动车违停霸占，非机动车行人等只能绕行，存在很大交通安全隐患，给人民群众出行带来麻烦。"
